PLOT-Name,3PG-Mean_DBH,3PG-Basal_Area
plot826,51.4849,77.6194
plot827,53.4609,77.9619
plot828,34.8166,75.2321
plot829,45.4849,76.9602
plot830,40.1002,75.3918
plot831,48.0639,76.9961
plot832,38.1655,75.1536
plot833,51.7118,77.3739
plot834,43.7262,75.8793
plot835,45.6845,76.3069
plot836,50.4198,76.9675
plot837,43.259,76.4666
plot838,42.6239,76.3437
plot839,44.2207,76.4582
plot840,43.3108,76.2092
plot841,40.0536,75.5817
plot842,44.2829,76.4565
plot843,34.6626,76.413
plot844,13.3121,70.4563
plot845,40.4483,75.8926
plot846,36.2613,75.4982
plot847,38.8025,75.3683
plot848,46.627,76.6724
plot849,37.6869,75.7841
plot850,41.6919,75.8599
plot851,41.0987,76.069
plot852,38.6925,76.3395
plot853,48.899,78.4848
plot854,33.6211,75.1849
plot855,35.485,75.6279
plot856,48.7544,77.0944
plot857,31.2991,75.4136
plot858,48.9737,77.6766
plot859,46.9339,76.7463
plot860,48.0574,76.7901
plot861,42.5206,76.6446
plot862,36.5597,75.9692
plot863,37.1723,75.5177
plot864,45.1529,76.5451
plot865,46.3911,76.7344
plot866,41.962,76.1403
plot867,37.3765,75.6769
plot868,37.0934,75.8276
plot869,50.5538,77.1035
plot870,41.1806,76.4598
plot871,54.3684,77.5552
plot872,43.4208,76.2068
plot873,37.2601,76.028
plot874,54.209,78.4247
plot875,24.1079,74.1689
plot876,43.9498,76.3032
plot877,50.7301,76.9219
plot878,47.3171,76.0831
plot879,37.3086,75.6619
plot880,49.6291,77.4071
plot881,39.8178,76.3595
plot882,40.2712,76.118
plot883,55.2906,77.6386
plot884,37.2336,75.621
plot885,40.6177,76.0362
plot886,44.817,76.9181
plot887,40.4718,76.5873
plot888,45.7328,76.2611
plot889,41.3256,76.5126
plot890,51.8813,77.2869
plot891,39.0855,75.6489
plot892,44.4636,76.3009
plot893,41.5614,75.4374
plot894,50.4057,77.0179
plot895,39.0928,76.0871
plot896,48.8554,76.7408
plot897,40.8052,76.0737
plot898,44.2917,76.4989
plot899,47.1949,76.8976
