cycle,'EXOTIC',length(trees where ((each.type = EXOTIC) and (each.state = SEEDLING))),length(trees where ((each.type = EXOTIC) and (each.state = SAPLING))),length(trees where ((each.type = EXOTIC) and (each.state = POLE))),length(trees where ((each.type = EXOTIC) and (each.state = ADULT)))
486,EXOTIC,25246,37753,4369,34320
487,EXOTIC,24544,36874,4332,34313
488,EXOTIC,23819,35987,4289,34307
489,EXOTIC,23168,35168,4246,34303
490,EXOTIC,22473,33904,4687,34294
491,EXOTIC,21872,32809,4951,34288
492,EXOTIC,21267,31830,5118,34280
493,EXOTIC,26534,31024,5113,34276
494,EXOTIC,25804,30356,5049,34272
495,EXOTIC,5538,49149,5002,34268
496,EXOTIC,5397,47992,4945,34262
497,EXOTIC,5245,46796,4903,34257
498,EXOTIC,5100,45659,4838,34254
499,EXOTIC,4956,44520,4787,34251
500,EXOTIC,4805,43449,4735,34245
501,EXOTIC,4671,42421,4679,34240
502,EXOTIC,4545,41294,4732,34230
503,EXOTIC,4429,40194,4748,34218
504,EXOTIC,4304,39191,4760,34213
505,EXOTIC,33388,38280,4714,34206
506,EXOTIC,32368,37431,4664,34197
507,EXOTIC,27453,40509,4606,34192
508,EXOTIC,26632,39548,4555,34187
509,EXOTIC,25897,38574,4507,34181
510,EXOTIC,25136,37642,4468,34175
511,EXOTIC,24419,36743,4416,34166
512,EXOTIC,23762,35877,4383,34160
513,EXOTIC,23071,35062,4344,34149
514,EXOTIC,22431,33816,4756,34142
515,EXOTIC,21789,32716,5029,34134
516,EXOTIC,21158,31728,5193,34126
517,EXOTIC,26350,30986,5183,34121
518,EXOTIC,25600,30284,5143,34114
519,EXOTIC,5516,48963,5093,34109
520,EXOTIC,5343,47852,5025,34102
521,EXOTIC,5193,46679,4966,34094
522,EXOTIC,5047,45571,4912,34083
523,EXOTIC,4916,44406,4861,34073
524,EXOTIC,4772,43343,4797,34064
525,EXOTIC,4638,42273,4736,34060
526,EXOTIC,4513,41140,4765,34062
527,EXOTIC,4390,40071,4759,34073
528,EXOTIC,4289,39068,4756,34078
529,EXOTIC,33310,38174,4707,34076
530,EXOTIC,32302,37319,4667,34071
531,EXOTIC,27463,40313,4611,34067
532,EXOTIC,26674,39346,4557,34066
533,EXOTIC,25914,38420,4511,34066
534,EXOTIC,25155,37458,4473,34063
535,EXOTIC,24445,36580,4422,34063
536,EXOTIC,23706,35709,4365,34055
537,EXOTIC,23071,34879,4323,34054
538,EXOTIC,22410,33529,4771,34046
539,EXOTIC,21777,32452,4993,34040
540,EXOTIC,21113,31501,5174,34034
541,EXOTIC,26309,30710,5175,34028
542,EXOTIC,25575,30028,5117,34024
543,EXOTIC,5416,48780,5052,34019
544,EXOTIC,5259,47579,4997,34013
545,EXOTIC,5099,46375,4939,34009
546,EXOTIC,4949,45300,4882,34006
547,EXOTIC,4799,44244,4830,34003
548,EXOTIC,4652,43177,4774,33994
549,EXOTIC,4507,42172,4725,33989
550,EXOTIC,4361,41082,4748,33991
551,EXOTIC,4226,39979,4767,33994
552,EXOTIC,4092,38953,4755,34009
553,EXOTIC,33149,38009,4708,34015
554,EXOTIC,32188,37127,4653,34017
555,EXOTIC,27502,40017,4611,34012
556,EXOTIC,26759,39135,4567,34012
557,EXOTIC,25976,38259,4521,34009
558,EXOTIC,25188,37348,4469,34003
559,EXOTIC,24444,36496,4414,34006
560,EXOTIC,23732,35643,4367,33999
561,EXOTIC,23080,34797,4337,33994
562,EXOTIC,22465,33518,4750,33992
563,EXOTIC,21797,32484,4987,33992
564,EXOTIC,21215,31445,5163,33992
565,EXOTIC,26383,30656,5148,33987
566,EXOTIC,25629,29961,5095,33981
567,EXOTIC,5395,48755,5045,33977
568,EXOTIC,5250,47578,4987,33969
569,EXOTIC,5087,46452,4927,33963
570,EXOTIC,4963,45329,4866,33957
571,EXOTIC,4816,44211,4807,33957
572,EXOTIC,4673,43171,4766,33950
573,EXOTIC,4559,42135,4713,33944
574,EXOTIC,4420,41063,4748,33943
575,EXOTIC,4302,39950,4763,33950
576,EXOTIC,4165,38959,4751,33960
577,EXOTIC,33262,38037,4701,33960
578,EXOTIC,32260,37124,4639,33964
579,EXOTIC,27529,40048,4593,33960
580,EXOTIC,26755,39092,4535,33958
581,EXOTIC,25990,38148,4478,33955
582,EXOTIC,25221,37208,4427,33953
583,EXOTIC,24510,36289,4370,33956
584,EXOTIC,23829,35435,4332,33948
585,EXOTIC,23178,34656,4278,33941
586,EXOTIC,22533,33384,4701,33940
587,EXOTIC,21919,32349,4932,33939
588,EXOTIC,21322,31362,5110,33935
589,EXOTIC,26430,30567,5116,33930
590,EXOTIC,25681,29823,5063,33926
591,EXOTIC,5410,48737,5012,33923
592,EXOTIC,5244,47534,4956,33916
593,EXOTIC,5099,46427,4898,33910
594,EXOTIC,4937,45258,4856,33902
595,EXOTIC,4810,44205,4798,33901
596,EXOTIC,4689,43101,4751,33894
597,EXOTIC,4574,42072,4698,33892
598,EXOTIC,4456,40947,4708,33893
599,EXOTIC,4327,39923,4716,33896
600,EXOTIC,4193,38928,4701,33913
601,EXOTIC,33346,38029,4657,33917
602,EXOTIC,32411,37194,4594,33914
603,EXOTIC,27627,40174,4550,33910
604,EXOTIC,26827,39229,4483,33910
605,EXOTIC,26041,38314,4437,33906
606,EXOTIC,25270,37383,4390,33901
607,EXOTIC,24527,36489,4324,33902
608,EXOTIC,23774,35689,4269,33900
609,EXOTIC,23106,34845,4224,33896
610,EXOTIC,22443,33569,4633,33894
611,EXOTIC,21803,32525,4880,33892
612,EXOTIC,21199,31513,5077,33890
613,EXOTIC,26330,30727,5062,33891
614,EXOTIC,25510,30084,5009,33892
615,EXOTIC,5348,48763,4952,33882
616,EXOTIC,5199,47543,4895,33877
617,EXOTIC,5020,46330,4832,33873
618,EXOTIC,4859,45193,4780,33869
619,EXOTIC,4740,44045,4729,33866
620,EXOTIC,4609,43010,4690,33861
621,EXOTIC,4492,42032,4622,33855
622,EXOTIC,4358,40901,4663,33852
623,EXOTIC,4225,39835,4637,33865
624,EXOTIC,4106,38854,4600,33888
625,EXOTIC,33324,37910,4559,33888
626,EXOTIC,32350,37034,4512,33893
627,EXOTIC,27629,39897,4458,33888
