cycle,'NATIVE',length(trees where ((each.type = NATIVE) and (each.state = SEEDLING))),length(trees where ((each.type = NATIVE) and (each.state = SAPLING))),length(trees where ((each.type = NATIVE) and (each.state = POLE))),length(trees where ((each.type = NATIVE) and (each.state = ADULT)))
575,NATIVE,95494,169486,29458,19579
576,NATIVE,88075,174090,29418,19598
577,NATIVE,84610,174616,29567,19616
578,NATIVE,83622,172658,29756,19632
579,NATIVE,82648,170619,30098,19628
580,NATIVE,81703,168741,30254,19638
581,NATIVE,92538,167062,30308,19650
582,NATIVE,103237,165592,30160,19675
583,NATIVE,113909,164071,30080,19680
584,NATIVE,112644,162560,29996,19679
585,NATIVE,110352,161935,29952,19719
586,NATIVE,102665,166808,29965,19731
587,NATIVE,96059,170560,29953,19740
588,NATIVE,88721,175160,29943,19731
589,NATIVE,85166,175771,30092,19740
590,NATIVE,84212,173825,30297,19765
591,NATIVE,83200,171603,30658,19778
592,NATIVE,82207,169719,30835,19777
593,NATIVE,92735,167999,30885,19791
594,NATIVE,103567,166473,30753,19815
595,NATIVE,114208,164921,30656,19853
596,NATIVE,112864,163414,30574,19846
597,NATIVE,110618,162714,30525,19870
598,NATIVE,102633,167841,30522,19890
599,NATIVE,96112,171517,30510,19911
600,NATIVE,88753,176147,30488,19907
601,NATIVE,85138,176879,30620,19897
602,NATIVE,84138,174871,30820,19905
603,NATIVE,83186,172758,31200,19908
604,NATIVE,82250,170868,31389,19904
605,NATIVE,92992,169115,31452,19907
606,NATIVE,103555,167534,31307,19918
607,NATIVE,114412,165944,31218,19931
608,NATIVE,113071,164317,31144,19932
609,NATIVE,110748,163606,31160,19922
610,NATIVE,102816,168537,31182,19924
611,NATIVE,96201,172364,31147,19936
612,NATIVE,88777,176924,31150,19942
613,NATIVE,85306,177457,31301,19941
614,NATIVE,84300,175423,31544,19950
615,NATIVE,83348,173253,31921,19971
616,NATIVE,82336,171376,32103,19985
617,NATIVE,93032,169568,32208,19985
618,NATIVE,103726,168000,32079,19989
619,NATIVE,114209,166374,31985,20014
620,NATIVE,112868,164755,31879,20027
621,NATIVE,110517,164171,31873,20036
622,NATIVE,102567,169248,31882,20047
623,NATIVE,96049,173014,31860,20061
624,NATIVE,88634,177710,31810,20094
625,NATIVE,85050,178400,31912,20117
626,NATIVE,84083,176373,32140,20116
627,NATIVE,83098,174263,32483,20122
628,NATIVE,82141,172284,32649,20152
629,NATIVE,93056,170495,32646,20183
630,NATIVE,103720,168932,32498,20191
631,NATIVE,114459,167303,32435,20196
632,NATIVE,113121,165697,32353,20215
633,NATIVE,110818,165027,32326,20225
634,NATIVE,103021,169923,32399,20224
635,NATIVE,96461,173647,32377,20225
636,NATIVE,88920,178338,32325,20244
637,NATIVE,85363,178984,32469,20256
638,NATIVE,84367,177036,32705,20257
639,NATIVE,83360,174920,33094,20250
640,NATIVE,82394,173090,33244,20261
641,NATIVE,93035,171348,33252,20276
642,NATIVE,103889,169666,33090,20285
643,NATIVE,114490,167987,33008,20284
644,NATIVE,113186,166422,32919,20273
645,NATIVE,110892,165786,32930,20264
646,NATIVE,103033,170691,32953,20263
647,NATIVE,96299,174307,32939,20264
648,NATIVE,88841,178907,32934,20259
649,NATIVE,85249,179548,33050,20271
650,NATIVE,84290,177602,33268,20271
651,NATIVE,83342,175479,33624,20278
652,NATIVE,82394,173550,33794,20278
653,NATIVE,93112,171800,33828,20294
654,NATIVE,103641,170216,33687,20299
655,NATIVE,114493,168585,33609,20302
656,NATIVE,113130,166965,33528,20299
657,NATIVE,110756,166330,33483,20320
658,NATIVE,102831,171337,33480,20336
659,NATIVE,96268,175083,33455,20344
660,NATIVE,88839,179712,33473,20339
661,NATIVE,85365,180351,33538,20350
662,NATIVE,84339,178350,33771,20344
